x,y,z
2.5689500097885727,3.531799924209714,1.5727000000000004
2.5689500097885727,3.4934499499097464,1.5960750000000006
3.5,3.491450027424097,1.5235750000000003
3.4321250106081367,3.4765750172957777,1.54605
2.5033500131860373,3.3058500326752664,1.7246750000000004
3.485949940490723,2.715899899412692,1.7541750000000005
3.485949940490723,3.3218499489843847,1.7541750000000005
3.464024978972972,3.3218499489843847,1.7541750000000005
3.485949940490723,3.309924987466633,1.7541750000000005
3.479556219352409,3.3163187086049466,1.7541750000000005
3.471287456247956,3.303956231329962,1.7541750000000005
2.649084638396921,2.688884609618308,1.87025
2.708949992725253,3.228899931719899,1.9297250000000004
3.3085999668478965,2.733349948389828,1.9297250000000004
3.275624985459447,2.7003749670013786,1.9297250000000004
